STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,AGE,EDUCATION,"OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS
Telangana,ADILABAD,SOYAM BAPU RAO,BJP,Lotus,MALE,52,12th Pass,25.33068419,35.4682479,1489790
Telangana,ADILABAD,Godam Nagesh,TRS,Car,MALE,54,Post Graduate,21.39992885,29.96436953,1489790
Telangana,ADILABAD,RATHOD RAMESH,INC,Hand,MALE,52,12th Pass,21.09277146,29.53428505,1489790
Telangana,ADILABAD,NOTA,NOTA,,,,,0.875022654,1.225214455,1489790
Uttar Pradesh,AGRA,Satyapal Singh Baghel,BJP,Lotus,MALE,58,Doctorate,33.38382301,56.46461464,1937690
Uttar Pradesh,AGRA,Manoj Kumar Soni,BSP,Elephant,MALE,47,Post Graduate,22.46639039,37.99912537,1937690
Uttar Pradesh,AGRA,Preeta Harit,INC,Hand,FEMALE,54,Post Graduate,2.330042473,3.940979148,1937690
Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,BJP,Lotus,MALE,37,Doctorate,37.85653348,58.42515898,1861396
Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,NCP,Clock,MALE,34,Graduate,22.73487211,35.08743129,1861396
Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,VBA,Cup & Saucer,MALE,62,Graduate,1.708771266,2.637199546,1861396
Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,BJP,Lotus,MALE,58,Others,41.3849704,67.00546171,1811851
Gujarat,AHMEDABAD EAST,Gitaben Patel,INC,Hand,FEMALE,38,10th Pass,17.41335242,28.19356176,1811851
Gujarat,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,BJP,Lotus,MALE,69,Post Graduate,39.04432316,64.21145018,1643317
Gujarat,AHMEDABAD WEST,RAJU PARMAR,INC,Hand,MALE,68,Graduate,19.47743497,32.03216867,1643317
Gujarat,AHMEDABAD WEST,NOTA,NOTA,,,,,0.895688416,1.473029814,1643317
Gujarat,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,BSP,Elephant,MALE,66,8th Pass,0.610229189,1.003569738,1643317
Rajasthan,AJMER,Bhagirath Chaudhary,BJP,Lotus,MALE,64,12th Pass,43.4395362,64.52234957,1876346
Rajasthan,AJMER,Riju Jhunjhunwala,INC,Hand,MALE,40,Graduate,21.24618807,31.55774885,1876346
Rajasthan,AJMER,Durga Lal Regar,BSP,Elephant,MALE,60,Post Graduate,0.725772326,1.078016475,1876346
Rajasthan,AJMER,Vishram Babu,APoI,Coat,MALE,60,Post Graduate,0.695021068,1.032340494,1876346
Uttar Pradesh,AKBARPUR,Devendra Singh 'Bhole',BJP,Lotus,MALE,64,10th Pass,32.91292046,56.62023333,1766121
Uttar Pradesh,AKBARPUR,Nisha Sachan,BSP,Elephant,FEMALE,46,Post Graduate,17.33403317,29.81980903,1766121
Uttar Pradesh,AKBARPUR,Rajaram Pal,INC,Hand,MALE,58,Graduate Professional,6.134404155,10.55304086,1766121
Maharashtra,AKOLA,Dhotre Sanjay Shamrao,BJP,Lotus,MALE,60,Graduate Professional,29.72620712,49.49575293,1865169
Maharashtra,AKOLA,Ambedkar (Adv) Prakash Yashwant,VBA,Cup & Saucer,MALE,64,Graduate Professional,14.95028064,24.89303106,1865169
Maharashtra,AKOLA,Hidayatullah Barakatullah Patel,INC,Hand,MALE,60,10th Pass,13.63790627,22.70785629,1865169
Kerala,ALAPPUZHA,Adv. A M ARIFF,CPI(M),"Hammer, Sickle and Star",MALE,54,Graduate Professional,32.87164969,40.91047525,1356701
Kerala,ALAPPUZHA,Adv. SHANIMOL OSMAN,INC,Hand,FEMALE,52,Post Graduate,32.09962991,39.94965655,1356701
Kerala,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,BJP,Lotus,MALE,64,Doctorate,13.83716825,17.22107453,1356701
Kerala,ALATHUR,RAMYA HARIDAS,INC,Hand,FEMALE,32,10th Pass,42.13905339,52.36684011,1266794
Kerala,ALATHUR,DR. P.K.BIJU,CPI(M),"Hammer, Sickle and Star",MALE,44,Doctorate,29.59020962,36.77220182,1266794
Kerala,ALATHUR,T.V.BABU,BDJS,Pot,MALE,61,10th Pass,7.091681836,8.812940466,1266794
Uttar Pradesh,ALIGARH,SATISH KUMAR GAUTAM,BJP,Lotus,MALE,46,10th Pass,34.77322936,56.37828085,1887127
Uttar Pradesh,ALIGARH,DR. AJEET BALIYAN,BSP,Elephant,MALE,51,Doctorate,22.62455044,36.68147257,1887127
Uttar Pradesh,ALIGARH,BIJENDRA SINGH CHAUDHARY,INC,Hand,MALE,62,Graduate,2.696161944,4.371321792,1887127
West Bengal,ALIPURDUARS,JOHN BARLA,BJP,Lotus,MALE,43,8th Pass,45.54790968,54.35976298,1648383
West Bengal,ALIPURDUARS,DASRATH TIRKEY,AITC,Flowers and Grass,MALE,52,Graduate,30.74619187,36.69445458,1648383
West Bengal,ALIPURDUARS,MILI ORAON,RSP,Spade & Stoker,FEMALE,42,Post Graduate,3.276544347,3.910435745,1648383
West Bengal,ALIPURDUARS,MOHANLAL BASUMATA,INC,Hand,MALE,44,Graduate Professional,1.66387302,1.985771545,1648383
West Bengal,ALIPURDUARS,NOTA,NOTA,,,,,1.284592234,1.53311381,1648383
Uttar Pradesh,ALLAHABAD,Rita Bahuguna Joshi,BJP,Lotus,FEMALE,69,Doctorate,28.81164926,55.5845464,1716160
Uttar Pradesh,ALLAHABAD,Rajendra Singh Patel,SP,Bicycle,MALE,63,Graduate,18.07401408,34.86908593,1716160
Uttar Pradesh,ALLAHABAD,Yogesh Shukla,INC,Hand,MALE,49,12th Pass,1.861889334,3.592028805,1716160
Uttar Pradesh,ALLAHABAD,Girdhar Gopal Tripathi,CPI(M),Ears of Corn And Sickle,MALE,77,Post Graduate,0.606178911,1.169463764,1716160
Uttarakhand,ALMORA,Ajay Tamta,BJP,Lotus,MALE,46,12th Pass,33.23728069,63.53909006,1337808
Uttarakhand,ALMORA,Pradeep Tamta,INC,Hand,MALE,60,Post Graduate,15.82177712,30.24619645,1337808
Uttarakhand,ALMORA,NOTA,NOTA,,,,,1.158985445,2.215610876,1337808
Uttarakhand,ALMORA,Sunder Dhoni (Advocate),BSP,Elephant,MALE,41,Post Graduate,0.761693756,1.456115758,1337808
Rajasthan,ALWAR,Balak Nath,BJP,Lotus,MALE,35,10th Pass,40.25371136,59.93021553,1888524
Rajasthan,ALWAR,Bhanwar Jitendra Singh,INC,Hand,MALE,47,Graduate,22.78128316,33.91705171,1888524
Rajasthan,ALWAR,Imran Khan,BSP,Elephant,MALE,31,10th Pass,2.999644167,4.465906753,1888524
Andhra Pradesh,AMALAPURAM,CHINTA ANURADHA,YSRCP,Ceiling Fan,FEMALE,46,Graduate,33.29491982,39.33710441,1459556
Andhra Pradesh,AMALAPURAM,GANTI HARISH MADHUR (BALAYOGI),TDP,Bicycle,MALE,28,Graduate Professional,30.56840573,36.11579707,1459556
Andhra Pradesh,AMALAPURAM,D M R SEKHAR,JnP,Glass Tumbler,MALE,59,Post Graduate,17.49278548,20.66728295,1459556
Andhra Pradesh,AMALAPURAM,NOTA,NOTA,,,,,1.128288329,1.333044081,1459556
Haryana,AMBALA,RATTAN LAL KATARIA,BJP,Lotus,MALE,67,Post Graduate,40.27100233,56.64280587,1853711
Haryana,AMBALA,SELJA,INC,Hand,FEMALE,56,Post Graduate,21.80291318,30.66668589,1853711
Haryana,AMBALA,NARESH KUMAR,BSP,Elephant,MALE,55,10th Pass,5.194768764,7.30665396,1853711
Haryana,AMBALA,RAM PAL,INLD,Spectacles,MALE,61,10th Pass,1.05598985,1.485292756,1853711
Uttar Pradesh,AMBEDKAR NAGAR,Ritesh Pandey,BSP,Elephant,MALE,38,Graduate,31.59162146,51.7247608,1785657
Uttar Pradesh,AMBEDKAR NAGAR,Mukut Bihari,BJP,Lotus,MALE,71,Graduate Professional,26.22216921,42.93339079,1785657
Uttar Pradesh,AMBEDKAR NAGAR,Rakesh,SBSP,Walking Stick,MALE,36,12th Pass,0.849379248,1.390683238,1785657
Uttar Pradesh,AMBEDKAR NAGAR,NOTA,NOTA,,,,,0.63528438,1.040147073,1785657
Uttar Pradesh,AMETHI,Smriti Irani,BJP,Lotus,FEMALE,43,12th Pass,26.87180781,49.68566932,1743515
Uttar Pradesh,AMETHI,Rahul Gandhi,INC,Hand,MALE,48,Post Graduate,23.71037817,43.8402216,1743515
Maharashtra,AMRAVATI,Navnit Ravi Rana,IND,Spanner,FEMALE,33,10th Pass,27.87352074,45.87203159,1833091
Maharashtra,AMRAVATI,Adsul Anandrao Vithoba,SHS,Bow and Arrow,MALE,71,Graduate,25.8577452,42.55462794,1833091
Maharashtra,AMRAVATI,Gunwant Deopare,VBA,Whistle,MALE,47,Others,3.553287862,5.847719582,1833091
Maharashtra,AMRAVATI,Arun Motiramji Wankhade,BSP,Elephant,MALE,56,12th Pass,0.672961681,1.107507005,1833091
Gujarat,AMRELI,Kachhadiya Naranbhai Bhikhabhai,BJP,Lotus,MALE,64,12th Pass,32.48700759,58.0436736,1628451
Gujarat,AMRELI,Paresh Dhanani,INC,Hand,MALE,42,Graduate,20.11752273,35.94344353,1628451
Gujarat,AMRELI,NOTA,NOTA,,,,,1.07875521,1.927383281,1628451
Gujarat,AMRELI,Chauhan Ravjibhai Mulabhai,BSP,Elephant,MALE,47,Literate,0.59510541,1.06325903,1628451
Punjab,AMRITSAR,GURJEET SINGH AUJLA,INC,Hand,MALE,46,12th Pass,29.51385228,51.71291057,1507875
Punjab,AMRITSAR,HARDEEP SINGH PURI,BJP,Lotus,MALE,67,Post Graduate,22.90680594,40.13632635,1507875
Punjab,AMRITSAR,KULDIP SINGH DHALIWAL,AAP,Broom,MALE,58,10th Pass,1.3321396,2.334118074,1507875
Punjab,AMRITSAR,DASWINDER KAUR,CPI(M),Ears of Corn And Sickle,FEMALE,55,Graduate,1.083312609,1.898134053,1507875
Punjab,AMRITSAR,NOTA,NOTA,,,,,0.581148968,1.018264384,1507875
Uttar Pradesh,AMROHA,KUNWAR DANISH ALI,BSP,Elephant,MALE,43,Graduate,36.50809173,51.38533401,1646435
Uttar Pradesh,AMROHA,KANWAR SINGH TANWAR,BJP,Lotus,MALE,58,8th Pass,32.66657961,45.9783852,1646435
Uttar Pradesh,AMROHA,SACHIN CHOUDHARY,INC,Hand,MALE,35,12th Pass,0.759823497,1.069455629,1646435
Andhra Pradesh,ANAKAPALLI,Dr.Beesetti Venkata Satyavathi,YSRCP,Ceiling Fan,FEMALE,52,Graduate Professional,38.5329471,47.25891124,1521363
Andhra Pradesh,ANAKAPALLI,ADARI ANAND KUMAR,TDP,Bicycle,MALE,43,10th Pass,32.67030945,40.06865217,1521363
Andhra Pradesh,ANAKAPALLI,Chintala Partha Sarathi,JnP,Glass Tumbler,MALE,56,Post Graduate,5.428553212,6.657874201,1521363
Andhra Pradesh,ANAKAPALLI,NOTA,NOTA,,,,,2.29379839,2.813239647,1521363
Andhra Pradesh,ANAKAPALLI,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),BJP,Lotus,MALE,65,Post Graduate,0.872638548,1.070251585,1521363
Gujarat,ANAND,PATEL MITESH RAMESHBHAI (BAKABHAI),BJP,Lotus,MALE,54,Others,38.23349659,57.03144987,1655870
Gujarat,ANAND,BHARATBHAI MADHAVSINH SOLANKI,INC,Hand,MALE,65,Graduate Professional,26.29306648,39.22036531,1655870
Gujarat,ANAND,NOTA,NOTA,,,,,1.110715213,1.656811557,1655870
Punjab,ANANDPUR SAHIB,Manish Tewari,INC,Hand,MALE,53,Graduate Professional,25.1957765,39.55965857,1698876
Punjab,ANANDPUR SAHIB,Professor Prem Singh Chandumajra,SAD,Scales,MALE,69,Post Graduate,22.4360695,35.2266678,1698876
Punjab,ANANDPUR SAHIB,Sodhi Vikram Singh,BSP,Elephant,MALE,62,Graduate,8.61987573,13.53398816,1698876
Punjab,ANANDPUR SAHIB,Narinder Singh Shergill,AAP,Broom,MALE,51,Post Graduate,3.122770585,4.903033574,1698876
Punjab,ANANDPUR SAHIB,NOTA,NOTA,,,,,1.008608044,1.583606279,1698876
Andhra Pradesh,ANANTAPUR,TALARI RANGAIAH,YSRCP,Ceiling Fan,MALE,48,Doctorate,41.77531007,51.5689326,1664160
Andhra Pradesh,ANANTAPUR,J.C. PAVAN REDDY,TDP,Bicycle,MALE,45,Graduate,33.27684838,41.07812841,1664160
Andhra Pradesh,ANANTAPUR,K.RAJIV REDDY,INC,Hand,MALE,29,Graduate Professional,1.807458417,2.231191131,1664160
Andhra Pradesh,ANANTAPUR,D.JAGADEESH,CPI(M),Ears of Corn And Sickle,MALE,58,8th Pass,1.219474089,1.505362306,1664160
Andhra Pradesh,ANANTAPUR,NOTA,NOTA,,,,,0.98944813,1.221410059,1664160
Jammu & Kashmir,ANANTNAG,HASNAIN MASOODI,JKN,Plough,MALE,65,Post Graduate,2.874560285,32.02486749,1397779
Jammu & Kashmir,ANANTNAG,GHULAM AHMAD MIR,INC,Hand,MALE,60,Graduate,2.39694544,26.70386163,1397779
Jammu & Kashmir,ANANTNAG,MEHBOOBA MUFTI,JKPDP,Ink Pot & Pen,FEMALE,59,Graduate Professional,2.183750078,24.32869725,1397779
Jammu & Kashmir,ANANTNAG,SOFI YOUSUF,BJP,Lotus,MALE,53,Illiterate,0.731517643,8.149683179,1397779
Jammu & Kashmir,ANANTNAG,CH. ZAFFAR ALI,JPC,Apple,MALE,60,8th Pass,0.117758244,1.311919659,1397779
Jammu & Kashmir,ANANTNAG,GH. MOHD. WANI,IND,Table,MALE,45,12th Pass,0.097941091,1.091140956,1397779
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,INC,Hand,MALE,52,Graduate Professional,29.92674372,45.95415578,318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,BJP,Lotus,MALE,46,Graduate Professional,29.48494525,45.27575001,318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,IND,Helicopter,MALE,61,Post Graduate,1.677075778,2.575241806,318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,AAP,Broom,MALE,49,12th Pass,0.891446945,1.368865659,318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,PRAKASH MINJ,BSP,Elephant,MALE,43,Post Graduate,0.780604827,1.198661511,318471
Uttar Pradesh,AONLA,DHARMENDRA KASHYAP,BJP,Lotus,MALE,50,10th Pass,30.11164283,51.06600614,1785605
Uttar Pradesh,AONLA,RUCHIVIRA,BSP,Elephant,FEMALE,57,Graduate,23.74164499,40.26319638,1785605
Uttar Pradesh,AONLA,KUNWAR SARVARAJ SINGH,INC,Hand,MALE,64,Graduate Professional,3.502902378,5.940533877,1785605
Tamil Nadu,ARAKKONAM,S. JAGATHRAKSHAKAN,DMK,Rising Sun,MALE,71,10th Pass,44.81218867,56.97916102,1500016
Tamil Nadu,ARAKKONAM,A.K. MOORTHY,PMK,Mango,MALE,55,Post Graduate,22.88202259,29.0947282,1500016
Tamil Nadu,ARAKKONAM,N.G. PARTHIBAN,IND,Gift Pack,MALE,43,8th Pass,4.455019146,5.664602886,1500016
Tamil Nadu,ARAKKONAM,Y.R. PAVENDHAN,NTK,Ganna Kisan,MALE,40,Post Graduate,1.956445798,2.487641051,1500016
Tamil Nadu,ARAKKONAM,"RAJENDRAN, N.",MNM,Battery Torch,MALE,61,Post Graduate,1.58471643,2.014983318,1500016
Tamil Nadu,ARAKKONAM,NOTA,NOTA,,,,,0.811924673,1.032370612,1500016
West Bengal,ARAMBAGH,APARUPA PODDAR (AFRIN ALI),AITC,Flowers and Grass,FEMALE,33,Post Graduate,36.82889015,44.13893194,1764726
West Bengal,ARAMBAGH,TAPAN KUMAR RAY,BJP,Lotus,MALE,55,Post Graduate,36.76417756,44.06137476,1764726
West Bengal,ARAMBAGH,SAKTI MOHAN MALIK,CPI(M),"Hammer, Sickle and Star",MALE,59,Post Graduate,5.696068398,6.826661741,1764726
West Bengal,ARAMBAGH,JYOTI KUMARI DAS,INC,Hand,FEMALE,41,Graduate,1.423903767,1.706529608,1764726
West Bengal,ARAMBAGH,NOTA,NOTA,,,,,1.161370094,1.391886514,1764726
Tamil Nadu,ARANI,VISHNU PRASAD M K,INC,Hand,MALE,46,Graduate Professional,42.62912742,53.9567497,1449150
Tamil Nadu,ARANI,ELUMALAI V,AIADMK,Two Leaves,MALE,63,Graduate Professional,26.70213573,33.79755912,1449150
Tamil Nadu,ARANI,SENTHAMIZHAN G,IND,Gift Pack,MALE,55,Post Graduate,3.200703861,4.051210699,1449150
Tamil Nadu,ARANI,TAMIZHARASI A,NTK,Ganna Kisan,FEMALE,37,Post Graduate,2.23641445,2.830685543,1449150
Tamil Nadu,ARANI,NOTA,NOTA,,,,,1.167650002,1.477923727,1449150
